한국어 단어,English Word,汉语单词,汉语拼音,Image
화내다,get angry with; be mad at,发火，生气,fāhuǒ，shēngqì,
지루하다,boring; tedious,无聊,wúliáo,
즐거워하다,be pleased; be delighted,高兴，愉悦,gāoxìng，yúyuè,
울음,crying,哭泣，哭,kūqì，kū,
불안,uneasiness; anxiety,不安，不宁，担心,bù'ān，bùníng，dānxīn,
슬픔,sadness; sorrow,伤心，悲伤，悲痛，悲哀,shāngxīn，bēishāng，bēitòng，bēi'āi,
편안,comfort; ease,平安，舒适，安稳,píng'ān，shūshì，ānwěn,
한가하다,leisurely; unhurried; relaxed,闲适，空闲,xiánshì，kòngxián,
깜짝,with a startle,一惊,yījīng,
재미없다,not interesting,无趣，没意思，没劲儿,wúqù，méiyìsī，méijìn'ér,
불편,inconvenience,不便，不方便,bùbiàn，bùfāngbiàn,
여자,woman,女子，女人,nǚzǐ，nǚrén,
이름,name,名字，名称,míngzì，míngchēng,
다니다,go continuously,常去,chángqù,
외국인,foreigner,外国人,wàiguórén,
여성,woman,女性,nǚxìng,
한국,Korea,韩国,hánguó,
지방,area; district,地区,dìqū,
베트남,Vietnam,越南,yuènán,
서울,capital,首都,shǒudū,
몽골,Mongolia,蒙古,ménggǔ,
러시아,Russia,俄罗斯,éluósī,
영국,England; the United Kingdom,英国,yīngguó,
사장,president; chief executive,老板，总经理,lǎobǎn，zǒngjīnglǐ,
일본,Japan,日本,rìběn,
주소,address,地址，住址,dìzhǐ，zhùzhǐ,
마을,town,村子，村庄,cūnzi，cūnzhuāng,
프랑스,France,法国,fǎguó,
미국,the United States,美国,měiguó,
중국,China,中国,zhōngguó,
신분증,identification card,身份证,shēnfènzhèng,
전화번호,phone number,电话号码,diànhuàhàomǎ,
부장,department head; division head,部长,bùzhǎng,
말레이시아,Malaysia,马来西亚,mǎláixīyà,
태국,Thailand,泰国,tàiguó,
부산,Busan,釜山,fǔshān,
인도네시아,Indonesia,印度尼西亚,yìndùníxīyà,
캐나다,Canada,加拿大,jiānádà,
울산,Ulsan,蔚山,wèishān,
아프다,hurting; aching,疼， 痛，不舒服,téng， tòng，bùshūfú,
약하다,weak,弱，小,ruò，xiǎo,
튼튼하다,strong,结实，坚硬,jiēshí，jiānyìng,
건강,health; wellbeing,健康,jiànkāng,
힘,strength; power,力量，力气,lìliàng，lìqì,
편찮다,difficult; troubled,不适，不舒服,bùshì，bùshūfú,
피곤,tiredness; exhaustion; fatigue,疲惫，疲劳，疲倦,píbèi，píláo，píjuàn,
스트레스,stress,压力,yālì,
읽다,read; read out,读，朗读,dú，lǎngdú,
빌리다,borrow; rent,借,jiè,
책,books; publications,书，书籍，画册,shū，shūjí，huàcè,
도서관,library,图书馆,túshūguǎn,
찾아보다,visit,去找，去见，拜访，走访,qùzhǎo，qùjiàn，bàifǎng，zǒufǎng,
권,volume; book,本,běn,
조용히,quietly,安静地,ānjìngdì,
호,ho,号,hào,
부치다,send,寄，汇，邮,jì，huì，yóu,
편지,letter,信，书信，信件,xìn，shūxìn，xìnjiàn,
택배,parcel delivery service; home-delivery service,快递,kuàidì,
소포,package; parcel,包裹,bāoguǒ,
우체국,post office,邮局,yóujú,
엽서,postcard,明信片,míngxìnpiàn,
우표,postage stamp,邮票,yóupiào,
요금,fare; fee; charge,费用，收费，资费,fèiyòng，shōufèi，zīfèi,
출입,going in and out; entry,出入,chūrù,
출입국,departure; entry,出入境,chūrùjìng,
내리다,fall; descend,下，落,xià，luò,
걸리다,hang,被挂,bèiguà,
타다,ride; get on; board,乘，乘坐,chéng，chéngzuò,
얼마나,how,多么,duōme,
갈아타다,transfer; transship,换乘，倒,huànchéng，dào,
