한국어 단어,English Word,汉语单词,汉语拼音,Image
방문,visit,访问，拜访，登门,fǎngwèn，bàifǎng，dēngmén,
파티,party,聚会，派对,jùhuì，pàiduì,
시간,hour,小时,xiǎoshí,
꽃다발,bouquet; bunch of flowers,花束,huāshù,
초대장,invitation; invitation card,邀请函,yāoqǐnghán,
치다,hit; strike,打，敲，击,dǎ，qiāo，jī,
개,dog,狗，犬,gǒu，quǎn,
부르다,call for; call out for; gesture,叫,jiào,
모으다,gather; collect; get together,集，聚，聚集,jí，jù，jùjí,
찍다,stamp,盖，印,gài，yìn,
키우다,grow; raise,养,yǎng,
고양이,cat,猫,māo,
즐기다,appreciate; enjoy; delight in,享受,xiǎngshòu,
그리다,draw; paint,画,huà,
노래,song; music; singing,歌，歌曲，唱歌,gē，gēqǔ，chànggē,
춤,dance,舞蹈,wǔdǎo,
게임,game,游戏，比赛,yóuxì，bǐsài,
문화,culture,文化,wénhuà,
그림,drawing; painting; sketch,画儿，绘画，画作，图画,huà'ér，huìhuà，huàzuò，túhuà,
가요,Korean popular song,歌谣,gēyáo,
경기,game; match,竞技，比赛，竞赛,jìngjì，bǐsài，jìngsài,
강아지,puppy,小狗，狗崽,xiǎogǒu，gǒuzǎi,
노래방,noraebang; singing room,练歌房，练歌厅,liàngēfáng，liàngētīng,
낚시,fishing hook,钓钩，鱼钩,diàogōu，yúgōu,
취미,hobby,爱好，嗜好，趣味，兴趣,àihào，shìhào，qùwèi，xìngqù,
요리,cooking,烹饪，烹调,pēngrèn，pēngtiáo,
운동,exercise,运动,yùndòng,
놀이,play; entertainment,游戏，玩耍,yóuxì，wánshuǎ,
사진,picture; photo,照片，相片,zhàopiān，xiàngpiān,
피아노,piano,钢琴,gāngqín,
대회,meeting; convention,大会,dàhuì,
음악,music,音乐,yīnyuè,
추다,dance,跳,tiào,
태권도,taegwondo; taekwondo,跆拳道,táiquándào,
테니스,tennis,网球,wǎngqiú,
달리기,run,跑步,pǎobù,
등산,hike; mountain climbing,登山,dēngshān,
동물,animal,动物,dòngwù,
공,ball,球,qiú,
예술,art,艺术,yìshù,
야구,baseball,棒球,bàngqiú,
산책,walk; stroll,散步,sànbù,
독서,reading,读书,dúshū,
축구,soccer,足球,zúqiú,
기타,guitar,吉他,jítā,
비디오,video,视频，录像,shìpín，lùxiàng,
농구,basketball,篮球,lánqiú,
라디오,radio,电台广播,diàntáiguǎngbō,
소설,novel,小说,xiǎoshuō,
춤추다,dance,跳舞,tiàowǔ,
방송,broadcasting,广播，电视,guǎngbō，diànshì,
배드민턴,badminton,羽毛球,yǔmáoqiú,
잡지,magazine,杂志,zázhì,
스키,ski,滑雪板,huáxuěbǎn,
카메라,camera,照相机,zhàoxiàngjī,
스케이트,skate,冰鞋,bīngxié,
악기,musical instrument,乐器,yuèqì,
켜다,saw,锯开,jùkāi,
스포츠,sports,体育，运动，竞赛,tǐyù，yùndòng，jìngsài,
장난감,toy,玩具,wánjù,
만화,comics,漫画,mànhuà,
수영,swimming,游泳,yóuyǒng,
수영장,swimming pool,游泳场，游泳池,yóuyǒngchǎng，yóuyǒngchí,
탁구,table tennis; ping-pong,乒乓球,pīngpāngqiú,
바이올린,violin,小提琴,xiǎotíqín,
헬스클럽,health club; fitness center; gym,健身中心，健身俱乐部,jiànshēnzhōngxīn，jiànshēnjùlèbù,
테니스장,tennis court,网球场,wǎngqiúchǎng,
체육관,gym; gymnasium,体育馆,tǐyùguǎn,
입장권,admission ticket; entrance ticket,入场券，门票,rùchǎngquàn，ménpiào,
스키장,ski resort,滑雪场,huáxuěchǎng,
축구공,soccer ball,足球,zúqiú,
일어나다,stand up; rise; sit up,起，起来,qǐ，qǐlái,
