한국어 단어,English Word,汉语单词,汉语拼音,Image
찌다,be sultry; be sweltering,闷热,mēnrè,
재료,material; ingredient,材料,cáiliào,
튀기다,fry,油炸，炸，煎,yóuzhá，zhà，jiān,
타다,mix; add,冲 ，泡 ，沏，对,chōng ，pào ，qī，duì,
기름,oil; fat,油,yóu,
컵,cup,杯子,bēizi,
숟가락,spoon,勺子，勺儿，汤匙，调羹,sháozi，sháo'ér，tāngchí，tiáogēng,
칼,knife,刀,dāo,
소금,salt,盐，咸盐,yán，xiányán,
냄비,sauce pan,小锅，汤锅，铝锅,xiǎoguō，tāngguō，lǚguō,
수저,spoon and chopsticks,勺筷,sháokuài,
설탕,sugar,糖，砂糖,táng，shātáng,
프라이팬,frying pan,平底锅，长柄平底锅，煎锅,píngdǐguō，zhǎngbǐngpíngdǐguō，jiānguō,
끊다,cut,弄断，切断,nòngduàn，qiēduàn,
주,week,一周，一星期,yīzhōu，yīxīngqī,
월요일,Monday,星期一，周一，礼拜一,xīngqīyī，zhōuyī，lǐbàiyī,
목요일,Thursday,星期四，周四，礼拜四,xīngqīsì，zhōusì，lǐbàisì,
휴일,holiday,休息日，公休日，假日,xiūxīrì，gōngxiūrì，jiàrì,
토요일,Saturday,星期六，周六，礼拜六,xīngqīliù，zhōuliù，lǐbàiliù,
주,week,周，星期,zhōu，xīngqī,
금요일,Friday,星期五，周五，礼拜五,xīngqīwǔ，zhōuwǔ，lǐbàiwǔ,
주일,week,周，星期,zhōu，xīngqī,
일요일,Sunday,星期日， 星期天，周日，礼拜天,xīngqīrì， xīngqītiān，zhōurì，lǐbàitiān,
주일,week,周，星期,zhōu，xīngqī,
수요일,Wednesday,星期三，周三，礼拜三,xīngqīsān，zhōusān，lǐbàisān,
요일,day of the week,星期，周，礼拜,xīngqī，zhōu，lǐbài,
화요일,Tuesday,星期二，周二，礼拜二,xīngqī'èr，zhōu'èr，lǐbài'èr,
속,inside stuff; interior; flesh,里，内，里边,lǐ，nèi，lǐbiān,
가리키다,point; gesture; indicate,指，指着，指出,zhǐ，zhǐzhe，zhǐchū,
멀다,distant; far-off,远,yuǎn,
그렇다,so; as such; like that,那样,nàyàng,
뒤,back,后，后面,hòu，hòumiàn,
밑,bottom,下面，底下,xiàmiàn，dǐxià,
앞,front,前，前面,qián，qiánmiàn,
사이,space; distance; gap,间，之间，间距,jiān，zhījiān，jiānjù,
이것,this,这个,zhègè,
어디,where,哪里，哪儿,nǎlǐ，nǎ'ér,
그거,(no equivalent expression),那个,nàgè,
그,(no equivalent expression),他,tā,
밖,outside,外，外边,wài，wàibiān,
가운데,center; middle,中间，正中，中央,zhōngjiān，zhèngzhōng，zhōngyāng,
그것,(no equivalent expression),那个,nàgè,
그,that,那个,nàgè,
주변,being around,周围，周边,zhōuwéi，zhōubiān,
거기,there,那儿，那边，那里,nà'ér，nàbiān，nàlǐ,
멀리,far,远远地，遥远地，久远地,yuǎnyuǎndì，yáoyuǎndì，jiǔyuǎndì,
근처,vicinity; neighborhood,附近，近处,fùjìn，jìnchù,
이렇다,so; like this,这样,zhèyàng,
겉,outside; surface; exterior,外面，表面，表,wàimiàn，biǎomiàn，biǎo,
쪽,direction; way,边,biān,
중심,center,中心，正中,zhōngxīn，zhèngzhōng,
그쪽,there,那边,nàbiān,
이쪽,this side,这边,zhèbiān,
반대,opposite; contrary,反，相反,fǎn，xiāngfǎn,
위,top; higher part,上,shàng,
바깥,outside,外，外面,wài，wàimiàn,
위치,location; situation,位置，位于,wèizhì，wèiyú,
이거,this,这个,zhègè,
장소,place; venue; space,场所，地点,chǎngsuǒ，dìdiǎn,
동네,neighborhood,小区，社区，村庄,xiǎoqū，shèqū，cūnzhuāng,
주위,surrounding area,周围,zhōuwéi,
저렇다,that; like that,那样,nàyàng,
도시,city,都市，城市,dūshì，chéngshì,
저거,that,那个,nàgè,
저기,that place,那里，那儿,nàlǐ，nà'ér,
방향,direction; side,方向,fāngxiàng,
이런,this; such; of this kind,这样的,zhèyàngde,
그런,like that,那种，那样,nàzhǒng，nàyàng,
왼쪽,left; left side,左边,zuǒbiān,
저쪽,that side,那边,nàbiān,
아래,bottom; lower part,下，下面,xià，xiàmiàn,
옆,side,旁，旁边,páng，pángbiān,
