한국어 단어,English Word,汉语单词,汉语拼音,Image
성숙,maturity; ripeness,熟，成熟,shú，chéngshú,
단발머리,bobbed-hair; short hair,短发,duǎnfā,
빗,comb; hairbrush,梳子,shūzi,
양산,parasol,阳伞,yángsǎn,
생머리,straight hair,直发,zhífā,
슬리퍼,slipper,拖鞋,tuōxié,
크림,cream,奶油,nǎiyóu,
드라이,drying,吹风,chuīfēng,
미장원,beauty parlor; beauty salon,美容院,měiróngyuàn,
파마,permanent; permed hair,烫发,tàngfà,
연두색,yellowish green,淡绿色,dànlǜsè,
뒷모습,appearance from behind,背影,bèiyǐng,
이발,haircut,理发,lǐfà,
커트,cutting,打断，截下,dǎduàn，jiéxià,
자주색,purple,紫色,zǐsè,
비비다,rub,蹭，揉，搓,cèng，róu，cuō,
벼,rice plant; rice,水稻,shuǐdào,
굳다,harden; become solid,变硬,biànyìng,
고추,red pepper; hot pepper,辣椒,làjiāo,
태우다 (화재),burn; ignite,点燃,diǎnrán,
깨다 (부수다에 비해서 덜 강하다),break; smash,打碎，砸，毁,dǎsuì，zá，huǐ,
고춧가루,red pepper powder,辣椒面，辣椒粉,làjiāomiàn，làjiāofěn,
뚜껑,lid,盖子,gàizi,
도마,cutting board,砧板，菜板,zhēnbǎn，càibǎn,
담그다,soak,浸泡,jìnpào,
손끝,fingertip,手指尖,shǒuzhǐjiān,
줄어들다,diminish,缩小，缩少,suōxiǎo，suōshǎo,
까다,peel; hull; shell; husk,剥,bō,
말다,roll; roll up,卷,juǎn,
곡식,grain; crop,庄稼，谷物,zhuāngjià，gǔwù,
솜씨,skill; dexterity,手艺,shǒuyì,
녹이다,melt; thaw,融化,rónghuà,
붓다 (음식),pour,倒，盛,dào，shèng,
데치다,blanch; parboil,焯，汆，烫,chāo，cuān，tàng,
간 (재료),salty seasoning; seasoning,调料,tiáoliào,
젓다,stir,搅拌,jiǎobàn,
데우다,heat up,热，温，暖,rè，wēn，nuǎn,
삶다,boil,煮,zhǔ,
거품,bubble; foam,泡沫,pàomò,
깨뜨리다,break; smash,打破，打碎,dǎpò，dǎsuì,
조림,braised dish,炖菜,dùncài,
바가지,bagaji,瓢，葫芦瓢，舀子,piáo，húlúpiáo，yǎozi,
익히다,cook; boil,做熟，煮熟，烧熟,zuòshú，zhǔshú，shāoshú,
싱싱하다,fresh,新鲜，鲜活,xīnxiān，xiānhuó,
푸다,draw from; scoop up; ladle,盛，舀,shèng，yǎo,
부치다 (음식),fry; griddle,摊，煎，烙,tān，jiān，lào,
영양,nutrition; nutrient,营养,yíngyǎng,
껍질,skin; peel,壳,ké,
도구,tool; implement,用具，器物,yòngjù，qìwù,
국물,"broth, stock, or soup",汤水，汤汁,tāngshuǐ，tāngzhī,
가루,powder,粉末，面儿,fěnmò，miàn'ér,
알,egg; spawn; berry,蛋，卵,dàn，luǎn,
송이,bunch; cluster,朵，串,duǒ，chuàn,
양념,seasoning,调料，调味料，佐料,tiáoliào，tiáowèiliào，zuǒliào,
새우,shrimp; prawn,虾,xiā,
비법,secret; magic formula; know-how,秘诀，秘方,mìjué，mìfāng,
대량,large amount; large volume,大量，批量,dàliàng，pīliàng,
오징어,squid,鱿鱼,yóuyú,
해산물,seafood,海产品,hǎichǎnpǐn,
마늘,garlic,蒜，大蒜,suàn，dàsuàn,
바구니,basket,篮子，篮，筐,lánzi，lán，kuāng,
호박,pumpkin,南瓜,nánguā,
반죽,kneading; dough,和，拌,hé，bàn,
치다 (음식 재료),add; sprinkle (an ingredient into food),放，洒，加,fàng，sǎ，jiā,
옥수수,corn; ear of corn,玉米，苞米，棒子,yùmǐ，bāomǐ，bàngzi,
손질,trimming,收拾，打理,shōushí，dǎlǐ,
해물,seafood,海产品,hǎichǎnpǐn,
당근,carrot,胡萝卜,húluóbo,
보리,barley,大麦,dàmài,
고구마,sweet potato; yam,红薯，甘薯,hóngshǔ，gānshǔ,
양파,onion,洋葱,yángcōng,
깨,sesame seed,芝麻,zhīmá,
조리,to care or condition,调理，调养,tiáolǐ，tiáoyǎng,
오리,duck,鸭子,yāzi,
버섯,mushroom,蘑菇,mógū,
참기름,sesame oil,香油，芝麻油,xiāngyóu，zhīmáyóu,
파,green onion; scallion,葱，大葱,cōng，dàcōng,
후추,pepper,胡椒,hújiāo,
콩나물,kongnamul; bean sprouts,黄豆芽，凉拌黄豆芽,huángdòuyá，liángbànhuángdòuyá,
물기,wetness; moisture,潮气，水分,cháoqì，shuǐfèn,
볶음,stir-fried dish,炒菜,chǎocài,
밥그릇,rice bowl,饭碗,fànwǎn,
밥솥,rice pot; rice cooker,饭锅,fànguō,
요리법,recipe; formula,烹饪法，烹调法,pēngrènfǎ，pēngtiáofǎ,
리터,liter,升,shēng,
양배추,cabbage,卷心菜，甘蓝，洋白菜,juànxīncài，gānlán，yángbáicài,
알,al,粒，丸，颗，片,lì，wán，kē，piàn,
조미료,condiment,调料，调味品，作料,tiáoliào，tiáowèipǐn，zuòliào,
고등어,mackerel,青花鱼，鲭鱼，鲐鱼,qīnghuāyú，qīngyú，táiyú,
시금치,spinach,菠菜,bōcài,
