한국어 단어,English Word,汉语单词,汉语拼音,Image
계시다,live,(无对应词汇),(wúduìyìngcíhuì),
어머니,mother,母亲，妈妈,mǔqīn，māmā,
부부,couple; married couple,夫妻，夫妇,fūqī，fūfù,
우리,we,我们，咱们,wǒmen，zánmen,
형,older brother,哥，哥哥,gē，gēgē,
아버지,father; male parent,父亲，爸爸,fùqīn，bàbà,
가족,family,家庭，家人,jiātíng，jiārén,
아내,wife,妻子，爱人，老婆,qīzǐ，àirén，lǎopó,
엄마,mom,妈妈,māmā,
누나,elder sister,姐姐,jiějiě,
남편,husband,丈夫，老公,zhàngfū，lǎogōng,
어머님,mother; female parent,母亲，妈妈,mǔqīn，māmā,
아빠,dad; daddy,爸爸,bàbà,
언니,older sister,姐姐,jiějiě,
할아버지,grandfather; grandpa,爷爷，姥爷,yéyé，lǎoyé,
오빠,elder brother,哥哥,gēgē,
닮다,resemble,像，随,xiàng，suí,
고모,paternal aunt,姑姑，姑妈,gūgū，gūmā,
할머니,grandmother; granny,奶奶，姥姥,nǎinǎi，lǎolǎo,
식구,family member,家人,jiārén,
형제,brothers,兄弟,xiōngdì,
누구,(no equivalent expression),谁,shuí,
시어머니,mother-in-law,婆婆,pópó,
동생,brother; sister,弟弟；妹妹,dìdì；mèimèi,
딸,daughter,女儿,nǚ'ér,
부모님,parents,父母,fùmǔ,
아들,son,儿子,érzi,
남동생,younger brother,弟弟,dìdì,
조카,nephew; niece,侄子，侄儿，侄女,zhízi，zhí'er，zhínǚ,
명,person,个，名,gè，míng,
여동생,younger sister,妹妹,mèimèi,
친척,relative,亲戚,qīnqī,
살,years old,岁,suì,
삼촌,uncle; paternal uncle,叔叔，舅舅,shūshū，jiùjiù,
이모,aunt,阿姨，姨妈,āyí，yímā,
손녀,granddaughter,孙女，外孙女,sūnnǚ，wàisūnnǚ,
연세,age,贵庚,guìgēng,
부인,wife,夫人，令夫人,fūrén，lìngfūrén,
너,(no equivalent expression),你,nǐ,
사람,human; man,人,rén,
공무원,civil servant,公务员,gōngwùyuán,
살다,live; be alive,活，活着，生存,huó，huózhe，shēngcún,
노인,old person; the aged; senior citizen,老人，老年人,lǎorén，lǎoniánrén,
친구,friend,朋友，好友， 友人，故旧,péngyǒu，hǎoyǒu， yǒurén，gùjiù,
남자,man; male,男子，男人,nánzi，nánrén,
직업,occupation; job,职业,zhíyè,
저,I; me,我,wǒ,
저희,our,我们,wǒmen,
선생님,teacher; master,老师，教师,lǎoshī，jiàoshī,
간호사,nurse,护士,hùshì,
자신,self; oneself,自身，自己,zìshēn，zìjǐ,
남성,male,男性,nánxìng,
내,I,我,wǒ,
뵙다,see; meet; meet with,拜见,bàijiàn,
처음,first; forefront,第一次，初次,dìyīcì，chūcì,
너희,you,你们,nǐmen,
사업,business,事业，生意,shìyè，shēngyì,
나이,age,年龄，年纪，岁数,niánlíng，niánjì，suìshù,
학생,student; learner,学生,xuéshēng,
여러분,everyone; everybody,诸位，各位，大家,zhūwèi，gèwèi，dàjiā,
회사,company; corporation,公司，企业，会社,gōngsī，qǐyè，huìshè,
기자,reporter; journalist,记者,jìzhě,
고향,home; hometown,故乡，家乡,gùxiāng，jiāxiāng,
네,you,你,nǐ,
가수,singer,歌手,gēshǒu,
직장,workplace,工作单位，职场,gōngzuòdānwèi，zhíchǎng,
이분,this gentleman; this lady; this,这位,zhèwèi,
나라,country; nation; state,国，国家,guó，guójiā,
서비스,service,服务,fúwù,
남녀,man and woman,男女,nánnǚ,
