한국어 단어,English Word,汉语单词,汉语拼音,Image
식료품,food,食品原料,shípǐnyuánliào,
외식,eating out; meal in a restaurant,在外用餐，外餐,zàiwàiyòngcān，wàicān,
공기 (식기),bowl,碗,wǎn,
요구르트,yogurt,酸奶,suānnǎi,
밤 (🌰),chestnut,栗子,lìzi,
치즈,cheese,奶酪,nǎilào,
복숭아,peach,桃子,táozi,
편식,eating only what one wants,偏食，挑食,piānshí，tiāoshí,
식비,food expenses,饭钱，餐费，伙食费,fànqián，cānfèi，huǒshífèi,
호두,walnut,核桃，胡桃,hétáo，hútáo,
후식,dessert ,餐后甜点，饭后甜点,cānhòutiándiǎn，fànhòutiándiǎn,
매운탕,spicy fish stew,鲜辣鱼汤,xiānlàyútāng,
땅콩,peanut,花生,huāshēng,
소시지,sausage,香肠,xiāngcháng,
포크,fork,叉子，餐叉,chāzǐ，cānchā,
안주,snack eaten with drinks,下酒菜,xiàjiǔcài,
와인,wine,红酒，葡萄酒,hóngjiǔ，pútáojiǔ,
중식,Chinese food,中国菜，中餐,zhōngguócài，zhōngcān,
메뉴판,menu (informal),菜单，菜谱,càidān，càipǔ,
제과점,bakery,面包房，面包店，西饼店,miànbāofáng，miànbāodiàn，xībǐngdiàn,
식후,after a meal,饭后，餐后,fànhòu，cānhòu,
잼,jam,果酱,guǒjiàng,
신맛,sourness,酸味,suānwèi,
보리차,barley tea,大麦茶,dàmàichá,
패스트푸드,fast food; junk food,快餐,kuàicān,
인스턴트,instant,即刻，快速，速食,jíkè，kuàisù，sùshí,
포도주,wine,葡萄酒,pútáojiǔ,
차림표,menu (formal),菜单，食谱,càidān，shípǔ,
짠맛,salty taste,咸味,xiánwèi,
식품점,grocery store,食品店,shípǐndiàn,
인삼차,ginseng tea,人参茶,rénshēnchá,
식당가,food street,美食街,měishíjiē,
식사량,portion of food,饭量，食量,fànliàng，shíliàng,
배부르다,full belly after eating,吃饱，肚子撑,chībǎo，dǔzichēng,
연하다,soft; supple,软,ruǎn,
눈치,tact; sense; wits,眼力，眼力见儿,yǎnlì，yǎnlìjiàn'ér,
정,jeong,情,qíng,
몰라보다,fail to recognize,认不出,rènbùchū,
간 (차이),between,间，之间,jiān，zhījiān,
갈등,conflict,矛盾，冲突，纠葛,máodùn，chōngtū，jiūgé,
우정,friendship,友情，友谊,yǒuqíng，yǒuyì,
인심,hearts and minds,人心,rénxīn,
예절,courtesy; manners,礼节，礼貌，礼仪,lǐjié，lǐmào，lǐyí,
만만하다,easy,好对付，轻松,hǎoduìfù，qīngsōng,
사교적,being sociable; being outgoing,社交型，善于社交的,shèjiāoxíng，shànyúshèjiāode,
인정,human feelings; human nature; humanity,人情,rénqíng,
혼나다,struggle; have a hard time; be dying,丢魂，吃不消，要死,diūhún，chībùxiāo，yàosǐ,
이르다 (말하는 걸),tell; let someone know,告诉,gàosù,
아가,baby,宝宝，小宝贝，小乖乖,bǎobǎo，xiǎobǎobèi，xiǎoguāiguāi,
감싸다,cover; wrap,包，裹,bāo，guǒ,
비웃다,laugh mockingly; jeer at; ridicule,耻笑，讥笑，嘲笑,chǐxiào，jīxiào，cháoxiào,
정성,heart,精诚，诚心,jīngchéng，chéngxīn,
비판,criticism; critical judgment; rebuke,批评，批判,pīpíng，pīpàn,
달래다,calm; pacify,哄，安慰，开导,hǒng，ānwèi，kāidǎo,
의견,opinion,意见,yìjiàn,
소녀,girl,少女，女孩,shàonǚ，nǚhái,
견해,view; opinion; viewpoint,见解，看法,jiànjiě，kànfǎ,
안부,news; regards,问候,wènhòu,
찾아뵙다,go visiting (to meet someone; formal),拜访，看望,bàifǎng，kànwàng,
젊은이,young man; young woman,青年人，年轻人,qīngniánrén，niánqīngrén,
말리다,stop; keep,劝，劝解,quàn，quànjiě,
거들다,help; assist; aid,帮，协助，打下手,bāng，xiézhù，dǎxiàshǒu,
다투다,argue; fight,争吵，吵架,zhēngchǎo，chǎojià,
첫인상,first impression,第一印象,dìyīyìnxiàng,
뿌리치다,shake off,甩开,shuǎikāi,
숙녀,lady,淑女,shūnǚ,
동아리,club,社团，协会,shètuán，xiéhuì,
인연,relationship; connection,缘分,yuánfēn,
조언,advice,指教，指点,zhǐjiào，zhǐdiǎn,
혼내다,scold; rebuke; punish,训斥，呵斥,xùnchì，hēchì,
소년,boy,少年，男孩,shàonián，nánhái,
상대방,counterpart; the other person,对方,duìfāng,
맞서다,face; confront; stand face to face,迎面站，面对面站，相对而立,yíngmiànzhàn，miànduìmiànzhàn，xiāngduì'érlì,
꾸중,scolding; admonition,指责，训斥,zhǐzé，xùnchì,
조르다,beg; pester,纠缠，缠磨，央求,jiūchán，chánmó，yāngqiú,
사과 (과일이 안인 것),apology,道歉,dàoqiàn,
상담,consultation; counseling,咨询,zīxún,
개인,each person; individual,个人,gèrén,
놀리다,make fun of; tease,戏弄，玩弄,xìnòng，wánnòng,
상대,facing each other,相对，对象,xiāngduì，duìxiàng,
야단,uproar; tumult; clamor,闹腾，惹事生非,nàoténg，rěshìshēngfēi,
우기다,insist; persist,强硬要求，硬来,qiángyìngyāoqiú，yìnglái,
어린애,child; kid,小孩,xiǎohái,
은혜,favor; help,恩惠,ēnhuì,
개인적,being individual,个人的，私人的,gèrénde，sīrénde,
사나이,man,汉子，男子汉,hànzi，nánzihàn,
인간관계,human relationship; interpersonal relationship,人际关系,rénjìguānxì,
승낙,approval; consent; permission,应允，同意,yīngyǔn，tóngyì,
사교적,sociable; outgoing,社交型，善于社交的,shèjiāoxíng，shànyúshèjiāode,
불평,complaint; grumbling,不满，牢骚,bùmǎn，láosāo,
변명,excuse; justification,辩解，辩白,biànjiě，biànbái,
대접,reception; treatment,接待，对待,jiēdài，duìdài,
여인,woman; lady,女人，女子,nǚrén，nǚzǐ,
이별,parting; separation; farewell,离别，告别,líbié，gàobié,
아드님,your son; one's esteemed son,贵公子，令郎,guìgōngzi，lìngláng,
체면,face; honor,体面，颜面，面子,tǐmiàn，yánmiàn，miànzi,
의논,discussion,商议，讨论，商量,shāngyì，tǎolùn，shāngliáng,
잔소리,useless talk; idle talk,说废话，废话,shuōfèihuà，fèihuà,
아동,child,儿童,értóng,
연인,couple,恋人,liànrén,
답변,answering; answer,答辩，回复,dábiàn，huífù,
주고받다,exchange,交往 ，交换 ，授受,jiāowǎng ，jiāohuàn ，shòushòu,
협력,cooperation; collaboration; working together,协力，协作，合作,xiélì，xiézuò，hézuò,
심부름,errand,差事，跑腿儿，打杂儿,chāishì，pǎotuǐ'ér，dǎzá'er,
윗사람,one's senior,长辈,zhǎngbèi,
양보,concession; yielding,让步,ràngbù,
비난,blame; condemnation; criticism,非难，责难，指责,fēinàn，zénàn，zhǐzé,
사내,man,男子汉,nánzihàn,
충고,advice,忠告，劝告,zhōnggào，quàngào,
회비,membership fee; dues,会费,huìfèi,
아랫사람,younger,晚辈，后辈，小辈,wǎnbèi，hòubèi，xiǎobèi,
설득,persuasion,说服,shuōfú,
협조,cooperation; help; support,协助，相助,xiézhù，xiāngzhù,
무관심,indifference; disinterest,漠不关心，冷漠,mòbùguānxīn，lěngmò,
말다툼,argument,吵架，吵嘴,chǎojià，chǎozuǐ,
웃어른,elders; senior,长辈，尊长，上司,zhǎngbèi，zūnzhǎng，shàngsī,
손잡다,hold hands,手拉手,shǒulāshǒu,
이성,the other sex; the opposite sex,异性,yìxìng,
사이좋다,familiar; close; friendly,亲密，和睦,qīnmì，hémù,
타인,another person; stranger; someone,他人,tārén,
개인적,personal,个人的，私人的,gèrénde，sīrénde,
사회적,being social,社会型，社会的,shèhuìxíng，shèhuìde,
송별회,farewell party,欢送会,huānsònghuì,
상대편,the other party; counterpart,对方,duìfāng,
사회적,social,社会的,shèhuìde,
어르신,your father,令尊,lìngzūn,
미팅,group blind date,集体约会，集体相亲,jítǐyuēhuì，jítǐxiāngqīn,
화해,reconcilation; settlement; compromise,和解，和好,héjiě，héhǎo,
부자 (사람/가족),father and son,父子,fùzǐ,
모자 (사람/가족),mother and son,母子,mǔzi,
파트너,partner,搭档，伙伴,dādàng，huǒbàn,
여유롭다,relaxed; easygoing,从容，悠闲,cóngróng，yōuxián,
여유,"having more than enough of time, space, money, etc.",宽裕，闲暇,kuānyù，xiánxiá,
짜다,build; make,做，打,zuò，dǎ,
여가,leisure; spare time; free time,空闲，余暇,kòngxián，yúxiá,
헤엄치다,swim,游泳，游动，游水,yóuyǒng，yóudòng，yóushuǐ,
축제,festival,庆典,qìngdiǎn,
조깅,jogging,慢跑,mànpǎo,
놀이공원,amusement park,游乐园，游乐场,yóulèyuán，yóulèchǎng,
피서,summer vacation,避暑，消暑，消夏,bìshǔ，xiāoshǔ，xiāoxià,
