한국어 단어,English Word,汉语单词,汉语拼音,Image
구름,cloud,云，云彩,yún，yúncǎi,
얼다,freeze,冻结，冻,dòngjié，dòng,
덥다,hot,热，暑,rè，shǔ,
불다,blow,刮，吹,guā，chuī,
눈,snow,雪,xuě,
춥다,cold,冷,lěng,
차갑다,cold,凉，冰凉,liáng，bīngliáng,
겨울,winter,冬天，冬季,dōngtiān，dōngjì,
봄,spring,春，春天，春季,chūn，chūntiān，chūnjì,
계절,season,季节，季,jìjié，jì,
가을,fall,秋天，秋季,qiūtiān，qiūjì,
비,rain,雨,yǔ,
날씨,weather,天气,tiānqì,
푸르다,blue; green,蓝，绿,lán，lǜ,
태풍,typhoon,台风,táifēng,
여름,summer,夏，夏天，夏季,xià，xiàtiān，xiàjì,
안개,fog; mist; haze,雾，雾气,wù，wùqì,
차다,cold,冷，寒冷，凉，冰凉,lěng，hánlěng，liáng，bīngliáng,
기온,air temperature,气温,qìwēn,
선선하다,cool; refreshing,凉丝丝，凉爽,liángsīsī，liángshuǎng,
온도,temperature,温度,wēndù,
장마,monsoon; monsoon season,梅雨,méiyǔ,
사계절,four seasons,四季,sìjì,
영하,temperature below zero,零下,língxià,
날,day,天，日,tiān，rì,
오늘,today,今天，今日,jīntiān，jīnrì,
요즘,nowadays; these days,最近，近来，这阵子,zuìjìn，jìnlái，zhèzhènzi,
달,moon,月，月亮，月球,yuè，yuèliàng，yuèqiú,
며칠,date,哪天,nǎtiān,
지난주,last week,上周,shàngzhōu,
매일,everyday,每日，天天,měirì，tiāntiān,
날짜,days,日子，时日,rìzi，shírì,
내일,days to come; future,明天，明日,míngtiān，míngrì,
그저께,the day before yesterday,前天,qiántiān,
올해,this year,今年,jīnnián,
년,nyeon,年,nián,
개월,month,个月,gèyuè,
모레,day after tomorrow,后天,hòutiān,
새해,new year,新年,xīnnián,
지난달,last month,上月，上个月,shàngyuè，shànggèyuè,
그날,that day; the day,那天，那日,nàtiān，nàrì,
작년,last year,去年,qùnián,
연말,end of the year,年末，年尾，岁末，年终,niánmò，niánwěi，suìmò，niánzhōng,
월,month; being monthly,月,yuè,
달,month,月,yuè,
이틀,(no equivalent expression),两天,liǎngtiān,
일주일,one week; a week,一周，一星期,yīzhōu，yīxīngqī,
오늘,today,今天,jīntiān,
내일,tomorrow,明天,míngtiān,
일,one,一,yī,
월,month,月,yuè,
매일,every day; every single day,天天，每日,tiāntiān，měirì,
일,il,日,rì,
사흘,three days,三天,sāntiān,
유월,June,六月,liùyuè,
나흘,four days,四天,sìtiān,
내년,next year,明年，来年,míngnián，láinián,
일,day,一日,yīrì,
십이월,December,十二月,shí'èryuè,
다음날,someday,改天，下次，以后，回头,gǎitiān，xiàcì，yǐhòu，huítóu,
그저께,the day before yesterday,前天,qiántiān,
날,nal,天,tiān,
일월,January,一月,yíyuè,
매달,every month,每月，月月,měiyuè，yuèyuè,
지난해,last year,去年,qùnián,
열흘,ten days,十天,shítiān,
매주,being weekly,每周，每星期,měizhōu，měixīngqī,
이월,February,二月,èryuè,
매주,every week,每周,měizhōu,
구월,September,九月,jiǔyuè,
