한국어 단어,English Word,汉语单词,汉语拼音,Image
시내,downtown,市内，市里,shìnèi，shìlǐ,
그곳,there,那儿，那边，那里,nà'ér，nàbiān，nàlǐ,
북쪽,north,北边，北方,běibiān，běifāng,
시골,rural area; countryside,乡下，农村，乡村,xiāngxià，nóngcūn，xiāngcūn,
여기저기,being here and there; being place to place; everywhere,到处，这里那里,dàochù，zhèlǐnàlǐ,
오른쪽,right,右侧，右边,yòucè，yòubiān,
중간,middle,中间，中,zhōngjiān，zhōng,
저,that,那,nà,
저,that,那,nà,
뒤쪽,back,后面，后头，后部,hòumiàn，hòutou，hòubù,
저것,that,那个,nàgè,
이곳,here,这里，这儿,zhèlǐ，zhè'ér,
독일,Germany,德国,déguó,
중앙,middle,正中央，中心,zhèngzhōngyāng，zhōngxīn,
저곳,that place,那里，那儿,nàlǐ，nà'ér,
남쪽,south; southern area,南侧，南边，南方,náncè，nánbiān，nánfāng,
동쪽,east,东边，东方,dōngbiān，dōngfāng,
미터,meter,米,mǐ,
저런,that; that kind of,那样的,nàyàngde,
광주,Gwangju,光州,guāngzhōu,
서쪽,west,西边，西面,xībiān，xīmiàn,
동물원,zoo,动物园,dòngwùyuán,
동대문,Dongdaemun Gate,东大门,dōngdàmén,
위쪽,upper part; upward,上面，上方,shàngmiàn，shàngfāng,
안쪽,the inside; the interior; inner part,里边，里头,lǐbiān，lǐtou,
달다,sweet,甜，甘甜,tián，gāntián,
밥,steamed rice; rice,饭,fàn,
남기다,leave,剩，剩下,shèng，shèngxià,
쓰다,bitter,苦,kǔ,
맛있다,tasty; delicious,好吃，可口，香,hǎochī，kěkǒu，xiāng,
물,water,水,shuǐ,
치킨,fried chicken,炸鸡,zhàjī,
싱겁다,not salty; flat,淡，清淡,dàn，qīngdàn,
시키다,order,让，叫,ràng，jiào,
사과,apple,苹果,píngguǒ,
맛,taste,味，味道,wèi，wèidào,
짜다,salty,咸,xián,
떡,tteok; rice cake,糕，糕饼，糕点,gāo，gāobǐng，gāodiǎn,
식사,meal,用餐，就餐，餐,yòngcān，jiùcān，cān,
신선하다,novel; original,新颖，清新,xīnyǐng，qīngxīn,
식다,cool; cool down; get cold,凉,liáng,
시다,sour,酸,suān,
맵다,spicy; hot,辣,là,
음식,food,饮食，饭菜,yǐnshí，fàncài,
인분,inbun,人份,rénfèn,
계란,egg,鸡蛋,jīdàn,
국수,noodle,面，面条,miàn，miàntiáo,
잔,cup,杯，杯子,bēi，bēizi,
맛없다,ill-tasting; unsavory,不好吃，没味道，无味,bùhǎochī，méiwèidào，wúwèi,
고기,meat,肉,ròu,
식당,cafeteria; restaurant,食堂,shítáng,
커피,coffee fruit; coffee powder,咖啡,kāfēi,
우유,milk,牛奶,niúnǎi,
간식,snack,零食，点心,língshí，diǎnxīn,
갈비,galbi,排骨，肋排，排骨肉,páigǔ，lēpái，páigǔròu,
감자,potato,马铃薯，土豆,mǎlíngshǔ，tǔdòu,
비빔밥,bibimbap,拌饭,bànfàn,
라면,ramen; instant noodles,方便面,fāngbiànmiàn,
빵,bread,面包,miànbāo,
김치,kimchi,辛奇,xīnqí,
찬물,cold water,冷水，冰水,lěngshuǐ，bīngshuǐ,
씹다,chew; masticate,咀嚼，嚼,jǔjué，jué,
달걀,hen's egg,鸡蛋,jīdàn,
김밥,gimbap,紫菜卷饭，紫菜包饭,zǐcàijuǎnfàn，zǐcàibāofàn,
김치찌개,kimchi jjigae,辛奇汤,xīnqítāng,
미역국,miyeokguk; seaweed soup,海带汤,hǎidàitāng,
과자,snack,饼干,bǐnggān,
감,persimmon,柿子,shìzi,
접시,plate,碟子,diézi,
차,tea,茶，茶水,chá，cháshuǐ,
떡볶이,tteokbokki,辣炒年糕,làchǎoniángāo,
야채,vegetable,蔬菜,shūcài,
