한국어 단어,English Word,汉语单词,汉语拼音,Image
식초,vinegar,食醋,shícù,
짬뽕,jjamppong,韩式炒码面，韩式海鲜辣汤面,hánshìchǎomǎmiàn，hánshìhǎixiānlàtāngmiàn,
식빵,bread,吐司面包,tǔsīmiànbāo,
한잔,a cup of; a drink; a glass of,一杯，一盅,yībēi，yīzhōng,
중국집,Chinese restaurant,中国餐厅，中华料理店,zhōngguócāntīng，zhōnghuáliàolǐdiàn,
순두부찌개,sundubujjigae; soft bean curd jjigae,嫩豆腐汤,nèndòufǔtāng,
자동판매기,vending machine,自动贩卖机,zìdòngfànmàijī,
술집,bar,酒家，酒馆，酒吧,jiǔjiā，jiǔguǎn，jiǔbā,
스파게티,spaghetti,意大利面,yìdàlìmiàn,
탕수육,sweet and sour pork,韩式糖醋肉片,hánshìtángcùròupiàn,
홍차,black tea; red tea,红茶,hóngchá,
한식집,Korean restaurant,韩国饭店，韩国料理店,hánguófàndiàn，hánguóliàolǐdiàn,
일식집,Japanese restaurant,日料店，日本餐馆,rìliàodiàn，rìběncānguǎn,
안녕,hello; hi; good-bye; bye,你好，再见,nǐhǎo，zàijiàn,
반갑다,glad; joyful,高兴，开心，喜悦,gāoxìng，kāixīn，xǐyuè,
지내다,live,度日，生活,dùrì，shēnghuó,
어떻다,such,怎么样,zěnmeyàng,
어떠하다,such,怎么样,zěnmeyàng,
인사,greetings,问候，打招呼,wènhòu，dǎzhāohū,
헤어지다,part; bid farewell; say good-bye,分别，分离,fēnbié，fēnlí,
씨,Mr.; Ms.; Mrs.,(无对应词汇),(wúduìyìngcíhuì),
오래되다,old; ancient,久，老,jiǔ，lǎo,
오랜만,being after a long time ,好久，久违,hǎojiǔ，jiǔwéi,
안녕히,in peace,平安地，安宁地,píng'āndì，ānníngdì,
성함,name,姓名,xìngmíng,
어서,quickly; without hesitation; without delay,快,kuài,
오래간만,being after a long time,好久，久违,hǎojiǔ，jiǔwéi,
오랫동안,for ages,长时间，长期以来,zhǎngshíjiān，chángqīyǐlái,
축하,congratulations; celebration,祝贺，庆贺，道贺,zhùhè，qìnghè，dàohè,
환영,welcome,欢迎,huānyíng,
바꾸다,change; exchange; replace; turn into,换，更换，调换,huàn，gēnghuàn，diàohuàn,
여보세요,hello; hi; hey there,喂,wèi,
전화,call; phone call,电话,diànhuà,
소식,news,消息,xiāoxī,
신호,code; sign,信号,xìnhào,
연결,connection,连接，连结,liánjiē，liánjié,
연락,communication,联络，联系,liánluò，liánxì,
대답,answer; reply,应答，回应，回复,yìngdá，huíyìng，huífù,
메시지,message,信息，通告，寄语,xìnxī，tōnggào，jìyǔ,
답장,reply; answer,回信，回复,huíxìn，huífù,
연락처,contact information,联系方式,liánxìfāngshì,
메모,memo,记录，留言，备忘录，便条,jìlù，liúyán，bèiwànglù，biàntiáo,
전화기,telephone,电话机,diànhuàjī,
메일,e-mail; electronic mail,电邮，电子邮件，电子函件,diànyóu，diànziyóujiàn，diànzihánjiàn,
놀다,play; have fun,玩耍，玩乐,wánshuǎ，wánlè,
계획,plan; program; scheme; design,计划，筹划,jìhuà，chóuhuà,
쉬다,rest; repose; take a rest,休息，歇,xiūxī，xiē,
연휴,consecutive holidays,连休,liánxiū,
쉬다,breathe,呼吸，喘,hūxī，chuǎn,
휴가,leave; break; vacation,休假，度假，放假，假期,xiūjià，dùjià，fàngjià，jiàqī,
공원,park,公园,gōngyuán,
주말,weekend,周末,zhōumò,
방학,vacation,放假,fàngjià,
소풍,trip; picnic; outing,远足，郊游，野游,yuǎnzú，jiāoyóu，yěyóu,
공휴일,public holiday,公休日，公共休假日，法定假日,gōngxiūrì，gōnggòngxiūjiàrì，fǎdìngjiàrì,
연극,play; drama; theater,话剧，戏剧,huàjù，xìjù,
콘서트,music concert,演唱会,yǎnchànghuì,
박물관,museum,博物馆,bówùguǎn,
교회,church,教会,jiàohuì,
목욕,bath,洗澡，沐浴,xǐzǎo，mùyù,
미술관,art museum; art gallery,美术馆,měishùguǎn,
넓다,broad,宽敞，宽阔，宽广,kuānchǎng，kuānkuò，kuānguǎng,
집,house,房子，窝，巢,fángzi，wō，cháo,
좁다,small,窄小,zhǎixiǎo,
바닥,bottom; floor,地,dì,
가구,furniture,家具,jiājù,
엘리베이터,elevator,电梯，升降梯,diàntī，shēngjiàngtī,
방,room,房间,fángjiān,
텔레비전,TV; television,电视，电视机,diànshì，diànshìjī,
짐,baggage,行李，货物,xínglǐ，huòwù,
층,layer,层,céng,
계단,stairs; staircase,阶梯，楼梯,jiētī，lóutī,
