한국어 단어,English Word,汉语单词,汉语拼音,Image
감다,close; shut eyes,闭,bì,
깨다,sober up,醒来,xǐnglái,
서두르다,hurry; rush,着急，操之过急,zháojí，cāozhīguòjí,
마치다,complete; finish,结束，完成,jiéshù，wánchéng,
바쁘다,busy; hectic,忙，忙碌，紧张,máng，mánglù，jǐnzhāng,
감다,wash; bathe,洗,xǐ,
출장,business trip,出差,chūchāi,
출근,going to work; arriving at work,上班,shàngbān,
퇴근,leaving work; arriving home from work,下班,xiàbān,
출퇴근,commuting,上下班,shàngxiàbān,
말,speech; words,声，声音,shēng，shēngyīn,
알다,know; understand,知道，明白,zhīdào，míngbái,
모르다,not know,不知道，不认识，不懂,bùzhīdào，bùrènshí，bùdǒng,
맞추다,piece together; assemble,配，组装，拼,pèi，zǔzhuāng，pīn,
의미,meaning; sense,意义,yìyì,
알아보다,investigate; examine; look into,打听，了解，查询,dǎtīng，liǎojiě，cháxún,
끝나다,end; finish,结束，完成,jiéshù，wánchéng,
맞다 (对),be correct,正确，对,zhèngquè，duì,
어렵다,difficult; challenging,难，不容易,nán，bùróngyì,
쉽다,easy,容易，简单,róngyì，jiǎndān,
쓰다,write,写,xiě,
접다,fold,叠,dié,
가르치다,teach; instruct,教，教授，传授,jiào，jiàoshòu，chuánshòu,
조용하다,quiet,安静,ānjìng,
학교,school,学校,xuéxiào,
끝내다,complete; finish,结束，完成,jiéshù，wánchéng,
떠들다,clamor; make a noise,喧闹,xuānnào,
배우다,learn,学，学习,xué，xuéxí,
이야기,story,故事,gùshì,
시험,test; exam,考试,kǎoshì,
공부,study,学习，读书,xuéxí，dúshū,
전공,major; specialty,专业，专攻，主修,zhuānyè，zhuāngōng，zhǔxiū,
수업,class; lesson; course,授课，讲课,shòukè，jiǎngkè,
여쭙다,ask politely,问询，问,wènxún，wèn,
규칙,rule,规则，规定，条例,guīzé，guīdìng，tiáolì,
사전,dictionary,辞典，词典,cídiǎn，cídiǎn,
얘기,story,谈话，说话,tánhuà，shuōhuà,
칠판,blackboard,黑板,hēibǎn,
적다,write; write down,写,xiě,
역사,history,历史,lìshǐ,
한글,Hangeul,韩文,hánwén,
가위,scissors,剪刀,jiǎndāo,
의자,chair; stool,椅子,yǐzi,
검사,examination; inspection,检查,jiǎnchá,
내용,content; substance,里面的物品,lǐmiàndewùpǐn,
성적,record; results,成绩,chéngjì,
교실,classroom,教室,jiàoshì,
단어 (하나),word,单词，词汇,dāncí，cíhuì,
학원,school,学院，学校,xuéyuàn，xuéxiào,
교육,education,教育，培训,jiàoyù，péixùn,
숙제,homework,作业,zuòyè,
글,writing; text,文章,wénzhāng,
점수,score,分数,fēnshù,
컴퓨터,computer,电脑,diànnǎo,
입학,admission to a school; entrance into a school,入学,rùxué,
시끄럽다,loud,吵闹，喧嚣,chǎonào，xuānxiāo,
책상,desk,书桌,shūzhuō,
공책,notebook,笔记本,bǐjìběn,
교수,teaching; instruction,教授，教学，讲授,jiàoshòu，jiàoxué，jiǎngshòu,
말씀,words,话,huà,
장,piece; sheet,张，枚，纸,zhāng，méi，zhǐ,
교사,teacher,教师,jiàoshī,
여학생,female student ,女学生，女生,nǚxuéshēng，nǚshēng,
고등학교,high school,高中,gāozhōng,
서류,document; papers,文件，材料,wénjiàn，cáiliào,
유학,studying abroad,留学,liúxué,
대학교,university; college,大学,dàxué,
연필,pencil,铅笔,qiānbǐ,
질문,question,提问,tíwèn,
상,prize; reward,奖，奖赏,jiǎng，jiǎngshǎng,
