한국어 단어,English Word,汉语单词,汉语拼音,Image
채소,vegetable,菜，蔬菜,cài，shūcài,
막걸리,makgeolli; unrefined rice wine,马格利酒,mǎgélìjiǔ,
물고기,fish,鱼,yú,
불고기,bulgogi,烤牛肉，烤肉,kǎoniúròu，kǎoròu,
음료수,drinking water,饮用水,yǐnyòngshuǐ,
생선,raw fish,鲜鱼，活鱼，鱼,xiānyú，huóyú，yú,
국,guk; soup,汤,tāng,
콩,bean,大豆，黄豆,dàdòu，huángdòu,
반찬,side dish,菜，菜肴,cài，càiyáo,
주스,juice,汁，果汁,zhī，guǒzhī,
찌개,jjigae; stew,浓汤，汤，锅,nóngtāng，tāng，guō,
초콜릿,chocolate,巧克力,qiǎokèlì,
딸기,strawberry,草莓,cǎoméi,
바나나,banana,香蕉,xiāngjiāo,
주문,order,订购，订货,dìnggòu，dìnghuò,
오이,cucumber,黄瓜,huángguā,
케이크,cake,蛋糕,dàngāo,
아이스크림,ice cream,冰淇淋,bīngqílín,
젓가락,chopsticks,筷子,kuàizi,
튀김,fried food,油炸食品,yóuzháshípǐn,
갈비탕,galbitang,牛排骨汤,niúpáigǔtāng,
돈가스,pork cutlet,韩式炸猪排,hánshìzhàzhūpái,
잡수시다,eat; have,吃,chī,
귤,tangerine; mandarin orange,橘子,júzi,
우동,udon,乌冬面,wūdōngmiàn,
냉면,naengmyeon; cold buckwheat noodles,冷面,lěngmiàn,
식품,food,食品,shípǐn,
맥주,beer,啤酒,píjiǔ,
포도,grape,葡萄,pútáo,
김,gim; dried laver seaweed,海苔，紫菜,hǎitái，zǐcài,
쌀,rice,米，大米,mǐ，dàmǐ,
피자,pizza,比萨,bǐsà,
배,pear,梨,lí,
양식,western food; western cuisine,西餐,xīcān,
삼계탕,samgyetang; ginseng chicken soup,参鸡汤,cānjītāng,
콜라,cola; Coke,可乐,kělè,
된장찌개,doenjangjjigae; soybean paste jjigae,韩式大酱汤,hánshìdàjiàngtāng,
껌,chewing gum,口香糖,kǒuxiāngtáng,
자장면,jajangmyeon,韩式炸酱面,hánshìzhájiàngmiàn,
무,radish,萝卜,luóbo,
소고기,beef,牛肉,niúròu,
메뉴,menu,菜单，菜谱,càidān，càipǔ,
녹차,green tea,绿茶,lǜchá,
배추,kimchi cabbage; napa cabbage,白菜,báicài,
음식점,restaurant; diner,餐厅，饭店,cāntīng，fàndiàn,
사탕,candy,糖，糖果，糖块,táng，tángguǒ，tángkuài,
칼국수,kalguksu; noodle soup ,刀切面,dāoqiēmiàn,
닭고기,chicken,鸡肉,jīròu,
음료,drink; water; soda,饮料,yǐnliào,
한식,hansik,韩国菜，韩餐，韩食，韩国料理,hánguócài，háncān，hánshí，hánguóliàolǐ,
설렁탕,seolleongtang; ox bone soup,雪浓汤，先农汤，牛杂碎汤,xuěnóngtāng，xiānnóngtāng，niúzásuìtāng,
만두,mandu,饺子,jiǎozi,
삼겹살,samgyeopsal; grilled pork belly,五花肉,wǔhuāròu,
소주,soju,韩国烧酒,hánguóshāojiǔ,
샌드위치,sandwich,三明治,sānmíngzhì,
오렌지,orange,橙子,chéngzi,
인삼,ginseng,人参,rénshēn,
토마토,tomato,番茄，西红柿,fānqié，xīhóngshì,
밀가루,wheat flour,面，面粉,miàn，miànfěn,
두부,tofu,豆腐,dòufǔ,
레스토랑,restaurant,西餐厅,xīcāntīng,
돼지고기,pork,猪肉,zhūròu,
볶음밥,fried rice,炒饭,chǎofàn,
된장,doenjang; soybean paste,大酱,dàjiàng,
사이다,soda pop,汽水,qìshuǐ,
상추,lettuce,生菜,shēngcài,
잡채,japchae,什锦炒粉条，什锦大杂烩,shíjǐnchǎofěntiáo，shíjǐndàzáhuì,
빵집,bakery,面包房，面包店,miànbāofáng，miànbāodiàn,
분식,flour-based food,面食,miànshí,
참외,oriental melon,香瓜，甜瓜,xiāngguā，tiánguā,
햄버거,hamburger,汉堡包，汉堡,hànpùbāo，hànbǎo,
카레,curry,咖喱，咖喱粉,gālí，gālífěn,
