한국어 단어,English Word,汉语单词,汉语拼音,Image
매년,being annual,每年，年年,měinián，niánnián,
모레,the day after tomorrow,后天,hòutiān,
이날,that day; this day,这天，那日,zhètiān，nàrì,
십일월,November,十一月,shíyīyuè,
시월,October,十月,shíyuè,
팔월,August,八月,bāyuè,
매달,being monthly,每月，月月,měiyuè，yuèyuè,
일,one,一,yī,
사월,April,四月,sìyuè,
매년,year by year; annually,每年，年年,měinián，niánnián,
삼월,March,三月,sānyuè,
오월,May,五月,wǔyuè,
칠월,July,七月,qīyuè,
들다,come in; get in; enter,进去，进入,jìnqù，jìnrù,
가지다,have; hold,持，带，戴,chí，dài，dài,
값,price,价格，价钱,jiàgé，jiàqián,
가게,shop; store,店，店铺，商店,diàn，diànpù，shāngdiàn,
다르다,different; other,不同，不一致,bùtóng，bùyīzhì,
고르다,choose; select,挑选,tiāoxuǎn,
가격,price,价格，价钱,jiàgé，jiàqián,
개,gae,个,gè,
크다,big; large,大，高，长，壮阔,dà，gāo，zhǎng，zhuàngkuò,
작다,small; little,小， 矮,xiǎo， ǎi,
팔리다,be sold,被卖掉，被卖出,bèimàidiào，bèimàichū,
팔다,sell,卖，出售,mài，chūshòu,
돈,money,钱，金钱，钱币,qián，jīnqián，qiánbì,
무료,free; no charge; complimentary,免费,miǎnfèi,
크다,grow,长，成长，生长,zhǎng，chéngzhǎng，shēngzhǎng,
계산,calculation,计算,jìsuàn,
싸다,cheap,便宜，贱,piányi，jiàn,
여기,here; this,这里，这儿,zhèlǐ，zhè'ér,
비싸다,expensive; costly,贵,guì,
얼마,what amount; what number; what price,多少,duōshǎo,
마트,mart,大超市,dàchāoshì,
물건,article; thing; item; goods,东西，物品，物件,dōngxī，wùpǐn，wùjiàn,
시장,market,市场,shìchǎng,
교환,exchange,调换，交换,diàohuàn，jiāohuàn,
할인,discount; reduction,打折，折扣，优惠，减价，降价,dǎzhé，zhékòu，yōuhuì，jiǎnjià，jiàngjià,
손님,visitor; caller; guest,客，客人,kè，kèrén,
공짜,something gained free of charge,白，免费,bái，miǎnfèi,
상품,product; goods,商品,shāngpǐn,
과일,fruit,水果,shuǐguǒ,
원,won,韩元，韩币,hányuán，hánbì,
백화점,department store,百货商店,bǎihuòshāngdiàn,
영수증,receipt,发票,fāpiào,
주인,owner,主人，物主,zhǔrén，wùzhǔ,
종업원,employee; staff,员工,yuángōng,
선택,choice; selection,选择,xuǎnzé,
동전,coin,硬币，钢镚，铜钱,yìngbì，gāngbèng，tóngqián,
서점,bookstore,书店,shūdiàn,
쇼핑,shopping,购物,gòuwù,
슈퍼마켓,supermarket; grocery store,超市,chāoshì,
편의점,convenience store,便利店，超市,biànlìdiàn，chāoshì,
포장,wrapping; gift-wrapping; package; packaging material,包装，打包,bāozhuāng，dǎbāo,
꽃집,flower shop,花店,huādiàn,
깎다,peel,削,xuē,
사고,accident,事故,shìgù,
치료,cure; treatment,治疗,zhìliáo,
병원,hospital; clinic,医院,yīyuàn,
주사,injection,注射,zhùshè,
입원,hospitalization,住院,zhùyuàn,
환자,patient; sick person,患者，病人,huànzhě，bìngrén,
수술,surgery; operation,手术,shǒushù,
내과,internal department,内科,nèikē,
치과,dental surgery; dentistry; dentist’s office; dental clinic,牙科,yákē,
퇴원,leaving the hospital; being discharged from the hospital,出院,chūyuàn,
어울리다,harmonize,共同，协调,gòngtóng，xiétiáo,
끼다,stick in; fasten,插，夹，掖,chā，jiā，yē,
입다,wear; be dressed; put on,穿,chuān,
매다,tie; bind; lace,系，绑,xì，bǎng,
