한국어 단어,English Word,汉语单词,汉语拼音,Image
일시불,lump-sum payment,一次付清,yīcìfùqīng,
세일,sale,打折，减价，促销,dǎzhé，jiǎnjià，cùxiāo,
달러,dollar,美元，美金,měiyuán，měijīn,
단골,favorite store,常来往的，很熟的,chángláiwǎngde，hěnshúde,
국산,being domestic,国产,guóchǎn,
지폐,bill,纸币,zhǐbì,
시중,market,市里，市场,shìlǐ，shìchǎng,
계산대,cash register; checkout; counter,柜台，收银台,guìtái，shōuyíntái,
계산기,calculator,计算器,jìsuànqì,
수표,check,支票,zhīpiào,
달러,dollar,美元,měiyuán,
매점,snack bar; shop,小卖部，小卖店，小铺,xiǎomàibù，xiǎomàidiàn，xiǎopù,
신제품,new product,新产品,xīnchǎnpǐn,
지불,payment; disbursement,支付，付给，付款,zhīfù，fùgěi，fùkuǎn,
상가,shopping complex; shopping mall,商场，商家,shāngchǎng，shāngjiā,
저울,scale,秤,chèng,
상점,store; shop,商店,shāngdiàn,
수입품,imports,进口产品,jìnkǒuchǎnpǐn,
슈퍼,supermarket; grocery store,超市,chāoshì,
그램,gram,克,kè,
신상품,new product,新品，新产品,xīnpǐn，xīnchǎnpǐn,
쇼핑센터,shopping center,购物中心,gòuwùzhōngxīn,
싸구려,cheap thing; inferior article,便宜货，廉价货,piányíhuò，liánjiàhuò,
전문점,specialty store,专卖店,zhuānmàidiàn,
싼값,low price,廉价，贱价,liánjià，jiànjià,
할인점,discount store; outlet,折扣店，打折店，打折商店,zhékòudiàn，dǎzhédiàn，dǎzhéshāngdiàn,
포장지,wrapping paper; wrapper,包装纸,bāozhuāngzhǐ,
걸치다,hang,落，挂,luò，guà,
묶다,tie; bind; fasten,系，打结,xì，dǎjié,
씌우다,put something on; cover,使戴上，使盖上,shǐdàishàng，shǐgàishàng,
개다 (옷),fold up,叠,dié,
끼우다,stick in; fasten,插，夹，掖,chā，jiā，yē,
벗기다,take off,脱下，拿掉,tuōxià，nádiào,
맨발,bare foot,光脚，赤脚,guāngjiǎo，chìjiǎo,
짙다,dark; thick,深,shēn,
주름,wrinkle,皱纹,zhòuwén,
두르다,put something around; wear,围，扎,wéi，zhā,
검다,black; dark,黑,hēi,
가죽,skin,皮,pí,
의복,clothes; garment,衣服,yīfú,
채우다,lock,锁,suǒ,
고급,high quality; high grade,高级，高档,gāojí，gāodàng,
고급스럽다,luxurious; exclusive; high-class,高档，高级,gāodàng，gāojí,
소매,sleeve,袖子,xiùzi,
허리띠,belt,腰带,yāodài,
빛깔,color; hue; tint,色彩,sècǎi,
무늬,pattern,纹，纹路,wén，wénlù,
벨트,belt,腰带,yāodài,
의류,clothes; clothing; garments,服装，服饰,fúzhuāng，fúshì,
코트,overcoat; coat,大衣,dàyī,
호주머니,pocket,口袋,kǒudài,
세로,height; length; high; long,纵，竖，立着,zòng，shù，lìzhe,
겉옷,outerwear,外衣，外套,wàiyī，wàitào,
선글라스,sunglasses,墨镜，太阳镜,mòjìng，tàiyángjìng,
보물,treasure,宝物，宝贝,bǎowù，bǎobèi,
셔츠,shirt,衬衫,chènshān,
의상,clothes; garment,服装，衣裳,fúzhuāng，yīshang,
긴팔,long sleeve,长袖,chángxiù,
손목시계,wristwatch,手表,shǒubiǎo,
초록,green,草绿，草绿色,cǎolǜ，cǎolǜsè,
재킷,jacket,外套,wàitào,
신,shoes; footwear,鞋，屣,xié，xǐ,
패션,fashion,服装，时装,fúzhuāng，shízhuāng,
보석,jewel,宝石,bǎoshí,
빨강,red,红色，红色染料,hóngsè，hóngsèrǎnliào,
반팔,short-sleeved shirt; half-sleeved shirt,短袖，半袖,duǎnxiù，bànxiù,
꽃무늬,floral pattern,花纹,huāwén,
잠옷,nightclothes; sleepwear,睡衣,shuìyī,
드레스,dress,(连衣裙式)礼服,(liányīqúnshì)lǐfú,
