한국어 단어,English Word,汉语单词,汉语拼音,Image
몰다,steer; drive,赶，带，逼,gǎn，dài，bī,
왕복,going and returning; round trip,往返,wǎngfǎn,
태우다,have someone mount,承载，载,chéngzài，zài,
도로,back,返，又,fǎn，yòu,
노약자,elderly or infirm people,老弱者,lǎoruòzhě,
가로등,streetlamp,路灯，街灯,lùdēng，jiēdēng,
지름길,shortcut,捷径，近路,jiéjìng，jìnlù,
길거리,road; street,大街，街头，马路,dàjiē，jiētóu，mǎlù,
자가용,being for private use; being personal,自用,zìyòng,
정면,front,正面,zhèngmiàn,
단속,supervision,管束，看管,guǎnshù，kānguǎn,
인도,pavement; sidewalk; walkway,人行道,rénxíngdào,
올라타다,get on,乘，搭,chéng，dā,
오토바이,motorcycle,摩托车,mótuōchē,
바퀴,wheel,车轮，轮子，轱辘,chēlún，lúnzi，gūlù,
보행자,pedestrian; walker,行人,xíngrén,
위반,violation; contravention; infringement,违反，违背,wéifǎn，wéibèi,
교통수단,means of transportation,交通，交通工具,jiāotōng，jiāotōnggōngjù,
교통편,means of transportation,交通工具，车船班次,jiāotōnggōngjù，chēchuánbāncì,
우회전,right turn,右转,yòuzhuǎn,
대로,main street; main road,大路，大道,dàlù，dàdào,
과속,speeding,超速,chāosù,
도심,downtown,市中心,shìzhōngxīn,
건널목,railroad crossing,平交道,píngjiāodào,
비행,flight; flying,飞行,fēixíng,
차량,traffic,车辆,chēliàng,
운행,running; operation; service,运行,yùnxíng,
노선,route; line,路线,lùxiàn,
차선,traffic lane,车线，车道，车路,chēxiàn，chēdào，chēlù,
건너,opposite side,对面,duìmiàn,
길가,roadside,路边，路旁,lùbiān，lùpáng,
우측,right; right side,右侧,yòucè,
좌회전,turning left,左转弯，左拐,zuǒzhuǎnwān，zuǒguǎi,
바퀴,circle,圈，周,quān，zhōu,
운전기사,driver,司机,sījī,
만원,full house,满座，人员满额,mǎnzuò，rényuánmǎn'é,
표지판,sign; notice; sign post,标志牌，标识牌,biāozhìpái，biāozhìpái,
국제선,international routes,国际航线，国际航班,guójìhángxiàn，guójìhángbān,
노선도,route map; line map,路线图,lùxiàntú,
빈자리,empty seat,空位子，空座位,kōngwèizi，kōngzuòwèi,
주유소,gas station,加油站,jiāyóuzhàn,
고속,high speed,高速,gāosù,
좌측,left; left side,左侧，左边,zuǒcè，zuǒbiān,
일대,whole area; whole region,一带,yīdài,
막차,last bus; last train,末班车,mòbānchē,
운전면허,driver's license,驾驶执照，驾照,jiàshǐzhízhào，jiàzhào,
철도,rail; railroad,铁路，铁道,tiělù，tiědào,
국내선,local line; domestic service,国内线,guónèixiàn,
직진,straight movement,直行,zhíxíng,
통행,passing; passage; travelling,通行,tōngxíng,
차비,transportation charge,车费,chēfèi,
차도,road,车道,chēdào,
비행장,airport; airfield,机场,jīchǎng,
차로,road,车道,chēdào,
큰길,broad street,大道,dàdào,
하차,getting off; alighting,下车,xiàchē,
반대쪽,other side; opposite side,反方向，反面,fǎnfāngxiàng，fǎnmiàn,
터널,tunnel,隧道,suìdào,
중고차,secondhand car,二手车,èrshǒuchē,
환승역,transfer station; interchange station,换乘站，中转站,huànchéngzhàn，zhōngzhuǎnzhàn,
주차료,parking fee,停车费,tíngchēfèi,
중형차,mid-size car,中型车,zhōngxíngchē,
주차권,parking voucher,停车券,tíngchēquàn,
시내버스,intra-city bus,市内公交车，市区公共汽车,shìnèigōngjiāochē，shìqūgōnggòngqìchē,
승용차,car,轿车,jiàochē,
안전띠,safety belt,安全带,ānquándài,
시외버스,intercity bus,长途汽车,chángtúqìchē,
탑승,boarding,搭乘,dāchéng,
승차,riding; boarding,乘车,chéngchē,
승차권,ticket,乘车票，车票,chéngchēpiào，chēpiào,
운반,transportation; conveyance; carriage,运输，运送,yùnshū，yùnsòng,
녹다,melt; thaw,融化，溶化,rónghuà，rónghuà,
