한국어 단어,English Word,汉语单词,汉语拼音,Image
영어,English,英语,yīngyǔ,
기숙사,dormitory,宿舍,sùshè,
운동장,playground; sports field,运动场，体育场,yùndòngchǎng，tǐyùchǎng,
지우개,eraser,橡皮擦,xiàngpícā,
학기,semester; term,学期,xuéqī,
유학생,international student; student studying abroad,留学生,liúxuéshēng,
교과서,textbook,教科书，教材,jiàokēshū，jiàocái,
볼펜,ballpoint pen,圆珠笔,yuánzhūbǐ,
대학원,graduate school,研究生院,yánjiūshēngyuàn,
지각,tardiness,迟到,chídào,
졸업,graduation,毕业,bìyè,
글자,letter; character,字，文字,zì，wénzì,
반,group; party,班,bān,
언어,language,语言,yǔyán,
답,answer; response,回答，答话,huídá，dáhuà,
글씨,form of letters,字体，字迹，笔迹,zìtǐ，zìjì，bǐjì,
노트,notebook,笔记本,bǐjìběn,
정문,main gate,正门,zhèngmén,
결석,absence,缺席，缺勤,quēxí，quēqín,
설명,explanation; account,说明,shuōmíng,
대학,university; college,大学,dàxué,
종이,paper,纸，纸片,zhǐ，zhǐpiàn,
선배,senior; veteran,前辈,qiánbèi,
학년,school year,学年,xuénián,
사무실,office; place of business; workplace,办公室,bàngōngshì,
남학생,male student,男学生，男生,nánxuéshēng，nánshēng,
후배,junior,后辈，晚辈，新人,hòubèi，wǎnbèi，xīnrén,
중학교,middle school,初中,chūzhōng,
봉투,envelope,信封,xìnfēng,
초등학교,elementary school; primary school,小学,xiǎoxué,
대학생,college student,大学生,dàxuéshēng,
수첩,pocket notebook,记事本，手册,jìshìběn，shǒucè,
복습,review,复习,fùxí,
예습,studying in advance,预习,yùxí,
고등학생,high school student; high schooler,高中生,gāozhōngshēng,
출석,attendance,出勤，出席，到场,chūqín，chūxí，dàochǎng,
시간표,schedule,时间表，日程表,shíjiānbiǎo，rìchéngbiǎo,
중학생,middle school student,初中生,chūzhōngshēng,
받아쓰다,dictate,听写，默写,tīngxiě，mòxiě,
외국어,foreign language,外国语，外语,wàiguóyǔ，wàiyǔ,
필통,pencil holder,笔筒,bǐtǒng,
유치원,kindergarten,幼儿园,yòu'éryuán,
초등학생,elementary school student; primary school student,小学生,xiǎoxuéshēng,
학생증,student identification,学生证,xuéshēngzhèng,
힘들다,strenuous; laborious,累，费力，费劲，辛苦，用力,lèi，fèilì，fèijìn，xīnkǔ，yònglì,
떠나다,leave; depart,去往，前往,qùwǎng，qiánwǎng,
재미있다,interesting,有趣，有意思,yǒuqù，yǒuyìsī,
익숙하다,trained; experienced; skilled,熟练，娴熟,shúliàn，xiánshú,
벌다,make; earn,赚，挣,zhuàn，zhēng,
아르바이트,part-time job; side job; student job; moonlighting,打工,dǎgōng,
취직,getting a job,就业，就职,jiùyè，jiùzhí,
월급,salary; monthly wage,月薪，月工资,yuèxīn，yuègōngzī,
하숙비,payment for board and lodgings,寄宿费，下宿费,jìsùfèi，xiàsùfèi,
형님,older brother,大哥，兄长,dàgē，xiōngzhǎng,
작은어머니,aunt,叔母，婶婶,shūmǔ，shěnshěn,
큰어머니,aunt,伯母，大娘，大妈,bómǔ，dàniáng，dàmā,
자매,sisters,姐妹,jiěmèi,
제사,ancestral rite,祭祀，祭礼,jìsì，jìlǐ,
외할머니,maternal grandmother,外婆，姥姥，外祖母,wàipó，lǎolǎo，wàizǔmǔ,
의식,ceremony; function,仪式,yíshì,
조상,ancestor,先祖,xiānzǔ,
작은아버지,uncle,叔父，叔叔,shūfù，shūshū,
외할아버지,maternal grandfather,外公，姥爷，外祖父,wàigōng，lǎoyé，wàizǔfù,
손자,grandson,孙子，外孙,sūnzi，wàisūn,
음력,lunar calendar,阴历，农历,yīnlì，nónglì,
외아들,only child; only son,独生子,dúshēngzi,
큰아버지,uncle,大伯，大伯父,dàbó，dàbófù,
양력,solar calendar,阳历，公历,yánglì，gōnglì,
참석,attendance,参加，出席,cānjiā，chūxí,
기념일,anniversary,纪念日,jìniànrì,
참석자,participant,参加者，参加人员，出席者，出席人员,cānjiāzhě，cānjiārényuán，chūxízhě，chūxírényuán,
효자,filial son; devoted son,孝子,xiàozi,
