한국어 단어,English Word,汉语单词,汉语拼音,Image
해외여행,overseas travel; trip abroad,海外旅行，境外游,hǎiwàilǚxíng，jìngwàiyóu,
제주도,Jeju-do Province,济州道,jìzhōudào,
여행지,travel destination,旅游地点，旅行地,lǚyóudìdiǎn，lǚxíngdì,
영화,film; movie,电影,diànyǐng,
극장,theater; cinema,剧场，戏院,jùchǎng，xìyuàn,
배우,actor; actress,演员,yǎnyuán,
표,ticket,票，券,piào，quàn,
예매,advance purchase,预购，订购,yùgòu，dìnggòu,
영화관,movie theater,电影院,diànyǐngyuàn,
매표소,ticket office,售票处,shòupiàochù,
영화배우,film actor; movie actress,电影演员,diànyǐngyǎnyuán,
눈,eye,眼睛,yǎnjīng,
입,mouth,嘴，口,zuǐ，kǒu,
손,hand,手,shǒu,
머리,head,头,tóu,
가슴,chest,胸，胸部,xiōng，xiōngbù,
발,foot,足，脚,zú，jiǎo,
코,nose,鼻，鼻子,bí，bízi,
귀,ear,耳，耳朵,ěr，ěrduǒ,
혀,tongue,舌头,shétou,
고개,head,头，脑袋,tóu，nǎodài,
예쁘다,pretty; beautiful; comely,漂亮，好看,piàoliàng，hǎokàn,
배,abdomen; belly,肚子,dǔzi,
못생기다,ugly-looking; homely,丑，难看,chǒu，nánkàn,
목,neck,脖子，颈,bózi，jǐng,
얼굴,face,脸，面孔，脸部,liǎn，miànkǒng，liǎnbù,
어깨,shoulder,肩，肩膀,jiān，jiānbǎng,
늙다,become old; age,老，衰老,lǎo，shuāilǎo,
몸,body,身体，身子,shēntǐ，shēnzi,
엉덩이,butt; buttocks,屁股，臀部,pìgǔ，túnbù,
잘생기다,good-looking; handsome; comely,好看，漂亮，英俊,hǎokàn，piàoliàng，yīngjùn,
무릎,knee,膝盖,xīgài,
아름답다,beautiful; pretty,美丽，漂亮,měilì，piàoliàng,
세다,strong; powerful,强，猛,qiáng，měng,
입술,lips,嘴唇,zuǐchún,
허리,waist,腰,yāo,
살,flesh; weight,肉,ròu,
길다,long; lengthy; extensive,长,zhǎng,
똑같다,exactly the same; equivalent to,完全一样，完全相同,wánquányīyàng，wánquánxiāngtóng,
찌다,gain weight,发胖，长膘,fāpàng，zhǎngbiāo,
날씬하다,slender; svelte,苗条，修长，颀长,miáotiáo，xiūcháng，qícháng,
젊다,young,年青，年轻,niánqīng，niánqīng,
손바닥,palm,手掌,shǒuzhǎng,
다리,leg,腿，下肢,tuǐ，xiàzhī,
뚱뚱하다,fat; corpulent,胖乎乎,pànghūhū,
팔,arm,臂，胳膊,bì，gēbó,
이마,forehead,额，前额，额头,é，qián'é，étóu,
머리카락,hair,发丝,fāsī,
모습,appearance; look,样子，模样,yàngzi，múyàng,
오른손,right hand,右手,yòushǒu,
멋있다,nice; stylish; elegant,帅气，优秀,shuàiqì，yōuxiù,
모양,shape,样子，模样,yàngzi，múyàng,
발가락,toe,脚趾,jiǎozhǐ,
비슷하다,similar,类似，相似，相近,lèisì，xiāngsì，xiāngjìn,
거울,mirror,镜子,jìngzi,
똑같이,equally; evenly,完全一样地，完全相同地,wánquányīyàngdì，wánquánxiāngtóngdì,
왼손,left hand,左手,zuǒshǒu,
화장품,cosmetics; makeup,化妆品,huàzhuāngpǐn,
붉다,red,红，赤,hóng，chì,
키,height,身高，身长，个子，个儿，个头儿,shēngāo，shēncháng，gèzi，gè'ér，gètou'er,
다이어트,diet,节食，减肥,jiéshí，jiǎnféi,
미용실,beauty parlor; beauty salon,发廊，美发厅，理发厅,fàláng，měifātīng，lǐfàtīng,
넣다,put; insert,放进，装进,fàngjìn，zhuāngjìn,
굽다,bake; roast; grill,烤，烧烤,kǎo，shāokǎo,
끓이다,boil,煮沸，烧开,zhǔfèi，shāokāi,
익다,ripen,熟，成熟,shú，chéngshú,
썰다,slice; cut,切，锯,qiè，jù,
그릇,bowl; dish; container,碗，器皿,wǎn，qìmǐn,
진하다,thick; strong,浓，稠,nóng，chóu,
볶다,stir-fry,炒,chǎo,
섞다,mix,掺加，混合,cànjiā，hùnhé,
간장,soy sauce,酱油,jiàngyóu,
