한국어 단어,English Word,汉语单词,汉语拼音,Image
이제,now,现在,xiànzài,
과거,past,过去，从前,guòqù，cóngqián,
낮,day; daytime,白天，白日，日间,báitiān，báirì，rìjiān,
옛날,past; ancient times,古，古代,gǔ，gǔdài,
오래,long,好久，很久,hǎojiǔ，hěnjiǔ,
현재,now; present; today,现在，目前，此时,xiànzài，mùqián，cǐshí,
밤,night; evening,夜，夜间,yè，yèjiān,
미래,future; days ahead,未来，将来,wèilái，jiānglái,
오전,morning,上午,shàngwǔ,
아까,a moment ago ,刚才，方才，刚刚,gāngcái，fāngcái，gānggāng,
잠시,moment; short while,片刻，暂时,piànkè，zànshí,
동시,simultaneousness; concurrence,同时,tóngshí,
이후,later time; the future,以后,yǐhòu,
초,beginning,初,chū,
이전,previous time; before,以前，之前,yǐqián，zhīqián,
말,end,末，底,mò，dǐ,
전,former,前,qián,
지금,now; immediately,现在，这会儿,xiànzài，zhèhuì'er,
분,minute,分，分钟,fēn，fēnzhōng,
잠깐,for a moment; for an instant; for a while,一下，暂时地,yīxià，zànshídì,
지난번,last time; the other day,上次，上回,shàngcì，shànghuí,
아까,a little while ago; a moment ago,刚，刚才,gāng，gāngcái,
잠시,for a while; for a moment; for some time,暂时，一会儿,zànshí，yīhuì'er,
옛,old; ancient,过去的，以前的,guòqùde，yǐqiánde,
언제,when; at what time,什么时候,shénmeshíhòu,
이때,this time; this moment; this instant,这时，此时,zhèshí，cǐshí,
어제,yesterday,昨天，昨日,zuótiān，zuórì,
저번,the other time,那次,nàcì,
초,second,秒,miǎo,
시,time of birth,时,shí,
점심시간,lunchtime,午饭时间,wǔfànshíjiān,
현재,currently; now,现在,xiànzài,
바르다,apply; spread,糊，涂,hú，tú,
약,medicine; medication; pill; drug,药,yào,
감기약,cold medicine,感冒药,gǎnmàoyào,
약국,pharmacy,药店,yàodiàn,
소화제,digestive medicine,消化药,xiāohuàyào,
약사,pharmacist,药剂师,yàojìshī,
지키다,guard; defend,守护，保卫,shǒuhù，bǎowèi,
약속,promise; appointment; pledge,约定，约好，承诺,yuēdìng，yuēhǎo，chéngnuò,
예약,reservation; booking,预约，预订,yùyuē，yùdìng,
취소,cancellation,取消，解除,qǔxiāo，jiěchú,
세우다,pick up; raise up; make something stand,扶起，使站立,fúqǐ，shǐzhànlì,
세상,world,天下，世界,tiānxià，shìjiè,
여행,travel; trip,旅行，旅游，游行,lǚxíng，lǚyóu，yóuxíng,
산,mountain,山,shān,
관광객,tourist,游客，游人，观光客,yóukè，yóurén，guānguāngkè,
경치,scenery; scene; view,风景，景色,fēngjǐng，jǐngsè,
땅,ground; land,陆地，大陆,lùdì，dàlù,
단풍,autumn foliage,红叶，枫叶,hóngyè，fēngyè,
강,river,江，河,jiāng，hé,
구경,sightseeing,观看，观赏，看热闹,guānkàn，guānshǎng，kànrènào,
풍경,scenery; scene; view,风景，风光，景色，景致,fēngjǐng，fēngguāng，jǐngsè，jǐngzhì,
바다,sea,海，大海，海洋,hǎi，dàhǎi，hǎiyáng,
자연,nature,自然,zìrán,
세계,world; universe,世界,shìjiè,
외국,foreign country,外国,wàiguó,
관광,tourism,旅游，观光,lǚyóu，guānguāng,
바닷가,beach; coast; seaside; seashore,海边，海滨,hǎibiān，hǎibīn,
호텔,hotel,酒店，饭店，宾馆,jiǔdiàn，fàndiàn，bīnguǎn,
신혼여행,honeymoon,蜜月旅行，蜜月旅游,mìyuèlǚxíng，mìyuèlǚyóu,
돌,stone,石，石头,shí，shítou,
해외,foreign country; overseas,海外，国外,hǎiwài，guówài,
유명,being famous; being popular,有名，知名，著名,yǒumíng，zhīmíng，zhùmíng,
지도,map,地图,dìtú,
관광지,tourist attraction,景区，景点，旅游胜地,jǐngqū，jǐngdiǎn，lǚyóushèngdì,
국제,being international; being global,国际,guójì,
섬,island,岛，岛屿,dǎo，dǎoyǔ,
여행사,travel agency,旅行社,lǚxíngshè,
국내,interior of a country; domestic territory,国内,guónèi,
